longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,bedrooms_per_room,population_per_household,households_per_population,ocean_1H_OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR_BAY,ocean_NEAR_OCEAN,median_house_value_log
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,0.2146731373108764,2.0490463215258856,0.488031914893617,False,False,False,True,False,12.395870352803575
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,0.1902850260939382,2.3461538461538463,0.4262295081967213,False,False,False,True,False,12.271396795480596
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,0.2744252873563218,1.9827586206896552,0.5043478260869565,False,False,False,True,False,12.161603382806213
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,0.23685206205069997,1.9548387096774194,0.5115511551155115,False,False,False,True,False,11.977922833779727
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,0.2526785714285714,2.640151515151515,0.3787661406025825,False,False,False,True,False,11.849404844423074
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,0.17650050864699898,2.395770392749245,0.41740226986128626,False,False,False,True,False,11.934926432385152
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,0.23859934853420195,2.1386138613861387,0.4675925925925926,False,False,False,True,False,11.954407441448915
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,0.20321572130415363,2.3627684964200477,0.42323232323232324,False,False,False,True,False,11.974777207691876
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,0.19827012641383898,2.5090909090909093,0.39855072463768115,False,False,False,True,False,12.000897933306716
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,0.24500665778961384,2.463855421686747,0.4058679706601467,False,False,False,True,False,11.901590234400047
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,0.2239170225747407,2.5382513661202184,0.3939720129171152,False,False,False,True,False,11.98168457011701
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,0.22208538587848933,2.1234309623430963,0.470935960591133,False,False,False,True,False,11.643084929027989
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,0.19964454976303317,2.624615384615385,0.3810082063305979,False,False,False,True,False,11.5099309859899
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,0.19649280575539568,2.3838862559241707,0.4194831013916501,False,False,False,True,False,11.795099898183592
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,0.22990654205607478,2.6638655462184873,0.3753943217665615,False,False,False,True,False,11.58525542883217
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,0.215929203539823,2.5397489539748954,0.39373970345963755,False,False,False,True,False,11.448930795918299
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,0.22181243414120128,2.7758186397984885,0.3602540834845735,False,False,False,True,False,11.566475710526321
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,0.23631123919308358,2.3911205073995774,0.4182139699381079,False,False,False,True,False,11.598194491615347
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,0.2194787379972565,2.5483870967741935,0.3924050632911392,False,False,False,True,False,11.790564777297387
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,0.23329853862212943,2.2830687830687832,0.4380069524913094,False,False,False,True,False,11.714240498256716
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,0.22340919647004182,2.6485260770975056,0.3775684931506849,False,False,False,True,False,11.654433707761807
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,0.21279916753381894,3.062686567164179,0.32651072124756336,False,False,False,True,False,11.611874470755124
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,0.22114803625377644,2.291793313069909,0.4363395225464191,False,False,False,True,False,11.560772327227417
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,0.2153846153846154,2.3470149253731343,0.4260731319554849,False,False,False,True,False,11.605513761992055
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,0.23209876543209876,2.159090909090909,0.4631578947368421,False,False,False,True,False,11.484536278461452
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,0.24026696329254726,2.6390374331550803,0.3789260385005066,False,False,False,True,False,11.556951919719207
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,0.25810721376571805,2.235732009925558,0.44728079911209767,False,False,False,True,False,11.551193801680078
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,0.22448979591836735,2.2297734627831716,0.44847605224963716,False,False,False,True,False,12.162125982647739
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,0.29399671052631576,1.978448275862069,0.5054466230936819,False,False,False,True,False,12.07824495582233
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,0.25165165165165165,2.3949367088607594,0.4175475687103594,False,False,False,True,False,11.953764151901414
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,0.33226495726495725,2.076305220883534,0.4816247582205029,False,False,False,True,False,11.918397239722838
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,0.28330995792426367,2.4444444444444446,0.4090909090909091,False,False,False,True,False,11.685205103383671
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,0.21263157894736842,2.3585858585858586,0.42398286937901497,False,False,False,True,False,12.14844882928968
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,0.21552321552321552,2.26027397260274,0.44242424242424244,False,False,False,True,False,12.124868013083418
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,0.2536231884057971,1.8795811518324608,0.532033426183844,False,False,False,True,False,12.11341444611523
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,0.2862222222222222,2.026315789473684,0.4935064935064935,False,False,False,True,False,11.86710429621008
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,0.3098311817279047,2.205533596837945,0.45340501792114696,False,False,False,True,False,11.83138646878959
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,0.3125,2.64375,0.37825059101654845,False,False,False,True,False,12.141539457711714
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,0.3964059196617336,1.9886363636363635,0.5028571428571429,False,False,False,True,False,11.630717389475995
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,0.5055803571428571,1.678082191780822,0.5959183673469388,False,False,False,True,False,12.05467400868968
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,0.24411134903640258,2.6068796068796067,0.3836003770028275,False,False,False,True,False,11.448930795918299
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,0.26482458863706926,2.720833333333333,0.3675344563552833,False,False,False,True,False,11.487617913343598
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,0.27975460122699386,2.905,0.3442340791738382,False,False,False,True,False,11.554077005184336
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,0.20085470085470086,3.0085836909871246,0.33238231098430815,False,False,False,True,False,11.37940550085183
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,0.2571428571428571,2.618181818181818,0.3819444444444444,False,False,False,True,False,11.32781201446548
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,0.23263327948303716,2.4015444015444016,0.41639871382636656,False,False,False,True,False,11.37940550085183
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,0.22498321020819342,2.9836065573770494,0.33516483516483514,False,False,False,True,False,11.353941456740479
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,0.24585436193222782,3.5328947368421053,0.28305400372439476,False,False,False,True,False,11.293537353157436
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,0.2721518987341772,1.6491228070175439,0.6063829787234043,False,False,False,True,False,11.002116507732017
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,0.18822479928635147,2.962566844919786,0.33754512635379064,False,False,False,True,False,11.234546649377918
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,0.21481481481481482,3.739130434782609,0.26744186046511625,False,False,False,True,False,11.225256725762893
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,0.25,3.0901639344262297,0.32360742705570295,False,False,False,True,False,11.363276304750233
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,NEAR BAY,0.19362745098039216,3.2767295597484276,0.30518234165067176,False,False,False,True,False,11.239816684367907
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,0.21980676328502416,2.9473684210526314,0.3392857142857143,False,False,False,True,False,11.205054290550551
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,0.20693069306930692,3.229946524064171,0.30960264900662254,False,False,False,True,False,11.269591961359195
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,0.24329896907216494,2.3734939759036147,0.4213197969543147,False,False,False,True,False,11.34333452885509
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,0.23758519961051608,3.3469387755102042,0.29878048780487804,False,False,False,True,False,11.305913595583258
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,0.19055944055944055,3.341463414634146,0.29927007299270075,False,False,False,True,False,11.350418300109132
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,0.22991788646911818,2.983633387888707,0.3351618211738892,False,False,False,True,False,11.769124610238766
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,0.19791666666666666,3.0866141732283463,0.3239795918367347,False,False,False,True,False,11.320565693461432
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,0.3176470588235294,2.101083032490975,0.47594501718213056,False,False,False,True,False,11.46374572492597
-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,0.24170616113744076,3.6842105263157894,0.2714285714285714,False,False,False,True,False,11.225256725762893
-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,0.3333333333333333,2.5714285714285716,0.3888888888888889,False,False,False,True,False,11.119897691565697
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,0.19281437125748502,2.180451127819549,0.4586206896551724,False,False,False,True,False,11.83138646878959
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,0.3734842360549717,1.7357630979498861,0.5761154855643045,False,False,False,True,False,12.086731521684555
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,0.1928620452985587,2.4282907662082516,0.41181229773462785,False,False,False,True,False,11.533717798424087
-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,0.20132560066280034,3.4830917874396135,0.2871012482662968,False,False,False,True,False,11.592669666556795
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,0.21432664756446992,3.243076923076923,0.3083491461100569,False,False,False,True,False,11.630717389475995
-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY,0.2573099415204678,2.2193548387096773,0.45058139534883723,False,False,False,True,False,11.785247676408115
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,0.31277056277056275,2.1072664359861593,0.4745484400656814,False,False,False,True,False,11.998439434579149
-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY,0.26666666666666666,3.267857142857143,0.30601092896174864,False,False,False,True,False,11.630717389475995
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,0.2852941176470588,2.2988505747126435,0.435,False,False,False,True,False,11.630717389475995
-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY,0.42487046632124353,2.232258064516129,0.4479768786127168,False,False,False,True,False,11.83138646878959
-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY,0.1940928270042194,2.7633136094674557,0.3618843683083512,False,False,False,True,False,11.685205103383671
-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY,0.18499353169469598,3.2782608695652176,0.3050397877984085,False,False,False,True,False,11.494771677590096
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,0.5125,1.5315789473684212,0.6529209621993127,False,False,False,True,False,11.685205103383671
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,0.3977142857142857,1.6545454545454545,0.6043956043956044,False,False,False,True,False,11.998439434579149
-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY,0.4,3.2051282051282053,0.312,False,False,False,True,False,11.83138646878959
-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,0.3132530120481928,4.658823529411765,0.21464646464646464,False,False,False,True,False,13.122367377396328
-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY,0.39436619718309857,2.2099447513812156,0.4525,False,False,False,True,False,11.998439434579149
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,0.4046511627906977,10.272727272727273,0.09734513274336283,False,False,False,True,False,11.83138646878959
-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,162500.0,NEAR BAY,0.3229166666666667,5.617647058823529,0.17801047120418848,False,False,False,True,False,11.998439434579149
-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY,0.3289099526066351,2.377483443708609,0.4206128133704735,False,False,False,True,False,12.141539457711714
-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,NEAR BAY,0.363265306122449,2.841541755888651,0.3519216277317257,False,False,False,True,False,12.09626335986454
-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY,0.4648151623193845,1.493327593628928,0.6696454309599308,False,False,False,True,False,11.775297421715827
-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,0.28959965187119235,1.735593220338983,0.576171875,False,False,False,True,False,12.121608929585332
-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY,0.3194029850746269,2.21978021978022,0.4504950495049505,False,False,False,True,False,11.736077016252437
-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,0.3449212384573601,1.6192,0.6175889328063241,False,False,False,True,False,12.04355959836804
-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,NEAR BAY,0.29865125240847784,1.8755102040816327,0.5331882480957563,False,False,False,True,False,12.1709686470671
-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,0.30369415807560135,1.8432,0.5425347222222222,False,False,False,True,False,12.459943248455652
-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY,0.27609369617636925,1.7120908483633934,0.5840811548966055,False,False,False,True,False,12.518694860909774
-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,237500.0,NEAR BAY,0.28337236533957844,1.706140350877193,0.5861182519280206,False,False,False,True,False,12.377927112974284
-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,NEAR BAY,0.3252900232018561,1.4600326264274062,0.6849162011173184,False,False,False,True,False,12.765691290604371
-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,0.3260091977516607,1.5030743432084963,0.665303086649312,False,False,False,True,False,12.723976161813853
-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY,0.14910536779324055,2.762295081967213,0.3620178041543027,False,False,False,True,False,12.655238799709434
-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,NEAR BAY,0.23790720631786771,1.5548245614035088,0.6431593794076164,False,False,False,True,False,12.500609917318906
-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,NEAR BAY,0.2616609783845279,1.6255924170616114,0.6151603498542274,False,False,False,True,False,12.466130405907165
-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY,0.21574260270037346,2.011142061281337,0.49722991689750695,False,False,False,True,False,12.52707222413625
-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,0.25621816002397363,1.8952618453865338,0.5276315789473685,False,False,False,True,False,12.323860125621126
-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,NEAR BAY,0.2029494382022472,2.1739130434782608,0.46,False,False,False,True,False,12.47801017053037
-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY,0.28826463638750327,1.7671232876712328,0.5658914728682171,False,False,False,True,False,12.294545870166347
-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,0.30209648901237685,1.4371405094494658,0.6958261863922242,False,False,False,True,False,12.449022745701502
-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,NEAR BAY,0.23526936026936027,1.8092485549132948,0.5527156549520766,False,False,False,True,False,12.319852122072682
-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,NEAR BAY,0.2653440793552387,1.599526066350711,0.6251851851851852,False,False,False,True,False,12.40123227382928
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,231600.0,NEAR BAY,0.22439405785770133,1.8350515463917525,0.5449438202247191,False,False,False,True,False,12.352771342460947
-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218500.0,NEAR BAY,0.34846674631620866,1.5400361228175798,0.6493354182955434,False,False,False,True,False,12.294545870166347
-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY,0.2637231503579952,1.7222757955641272,0.5806270996640538,False,False,False,True,False,12.363507925148648
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,NEAR BAY,0.15864811133200796,2.6005361930294906,0.3845360824742268,False,False,False,True,False,12.699551683459445
-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0,NEAR BAY,0.14299212598425196,2.263917525773196,0.44171220400728595,False,False,False,True,False,12.758810549239202
-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,NEAR BAY,0.15760869565217392,2.1117021276595747,0.473551637279597,False,False,False,True,False,12.810664530598725
-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,335000.0,NEAR BAY,0.16167664670658682,2.0851063829787235,0.47959183673469385,False,False,False,True,False,12.721888795877375
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,NEAR BAY,0.1467857142857143,2.632754342431762,0.37983034872761545,False,False,False,True,False,12.830943661992771
-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,389500.0,NEAR BAY,0.16265230943610087,2.120720720720721,0.4715378079864061,False,False,False,True,False,12.87262171168374
-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,NEAR BAY,0.139739663093415,2.455040871934605,0.40732519422863483,False,False,False,True,False,12.876721117631158
-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,337300.0,NEAR BAY,0.1982220540949499,2.1244769874476988,0.4707040866568193,False,False,False,True,False,12.72873098576518
-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,NEAR BAY,0.16115843270868824,2.152400835073069,0.46459747817652763,False,False,False,True,False,12.595411759236592
-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,292300.0,NEAR BAY,0.174357476635514,2.274706867671692,0.43961708394698085,False,False,False,True,False,12.585539372236147
-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,411500.0,NEAR BAY,0.13504307753957123,2.470948012232416,0.40470297029702973,False,False,False,True,False,12.927566729229966
-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,NEAR BAY,0.15649027589326098,2.4606413994169096,0.40639810426540285,False,False,False,True,False,12.649157827477366
-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,325900.0,NEAR BAY,0.16129032258064516,2.2983870967741935,0.43508771929824563,False,False,False,True,False,12.694348933246843
-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,392600.0,NEAR BAY,0.12987012987012986,2.747422680412371,0.36397748592870544,False,False,False,True,False,12.880549107943006
-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,NEAR BAY,0.16055846422338568,2.419864559819413,0.41324626865671643,False,False,False,True,False,12.673889510548893
-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,333300.0,NEAR BAY,0.15557749259624876,2.1240208877284594,0.47080516287645974,False,False,False,True,False,12.71680126459136
-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,335200.0,NEAR BAY,0.138763197586727,2.4368421052631577,0.4103671706263499,False,False,False,True,False,12.722485630879172
-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,351200.0,NEAR BAY,0.14033983637507866,2.5687203791469195,0.3892988929889299,False,False,False,True,False,12.769113988119456
-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0,NEAR BAY,0.15131211613623674,2.45724907063197,0.4069591527987897,False,False,False,True,False,12.818283594342818
-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,365900.0,NEAR BAY,0.1438692098092643,2.414448669201521,0.4141732283464567,False,False,False,True,False,12.81011808399072
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,366700.0,NEAR BAY,0.14727420667209112,2.3863636363636362,0.41904761904761906,False,False,False,True,False,12.812302081080515
-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,362800.0,NEAR BAY,0.14164456233421752,2.53,0.3952569169960474,False,False,False,True,False,12.801609753558902
-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,483300.0,NEAR BAY,0.13013698630136986,2.423076923076923,0.4126984126984127,False,False,False,True,False,13.08839492693925
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0,NEAR BAY,0.14021052631578948,2.322857142857143,0.43050430504305043,False,False,False,True,False,12.711084401471556
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,323500.0,NEAR BAY,0.14709851551956815,2.504694835680751,0.3992502343017807,False,False,False,True,False,12.686957484108422
-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0,NEAR BAY,0.21355453582774445,2.282608695652174,0.4380952380952381,False,False,False,True,False,12.286273802188468
-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,233100.0,NEAR BAY,0.23735581188997337,1.9527720739219712,0.5120925341745531,False,False,False,True,False,12.359227115018937
-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,296400.0,NEAR BAY,0.15262778977681785,2.2767857142857144,0.4392156862745098,False,False,False,True,False,12.59946854621754
-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,273700.0,NEAR BAY,0.16996448503297817,2.4837662337662336,0.40261437908496733,False,False,False,True,False,12.519791548657462
-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,227700.0,NEAR BAY,0.21300961978928082,2.4543478260869565,0.40744021257750224,False,False,False,True,False,12.33578864378571
